converted,score_differential,game_seconds_remaining,situation
1,-4.0,1434.0,Medium_Opponent Territory
1,-4.0,403.0,Short_Opponent Territory
0,7.0,2197.0,Short_Red Zone
0,-14.0,955.0,Short_Midfield Area
0,-17.0,50.0,Long_Midfield Area
0,-3.0,1994.0,Short_Red Zone
1,19.0,640.0,Short_Opponent Territory
0,-26.0,195.0,Long_Opponent Territory
0,8.0,185.0,Short_Opponent Territory
0,-4.0,35.0,Short_Opponent Territory
0,-10.0,2188.0,Long_Opponent Territory
0,-23.0,1550.0,Long_Opponent Territory
1,23.0,1234.0,Long_Opponent Territory
0,-18.0,72.0,Long_Opponent Territory
0,-7.0,2882.0,Short_Red Zone
0,-2.0,1328.0,Short_Midfield Area
0,-15.0,450.0,Long_Opponent Territory
0,-18.0,111.0,Long_Opponent Territory
1,-7.0,2089.0,Short_Opponent Territory
0,-7.0,27.0,Short_Red Zone
1,-11.0,2483.0,Medium_Opponent Territory
1,-11.0,2256.0,Medium_Red Zone
0,-10.0,1876.0,Medium_Opponent Territory
1,4.0,189.0,Medium_Red Zone
1,-18.0,1616.0,Medium_Red Zone
1,-14.0,115.0,Long_Midfield Area
0,7.0,1825.0,Medium_Opponent Territory
0,-7.0,1807.0,Medium_Midfield Area
1,-14.0,1062.0,Short_Opponent Territory
0,-14.0,859.0,Medium_Red Zone
1,14.0,330.0,Short_Red Zone
0,10.0,64.0,Medium_Opponent Territory
1,-10.0,1499.0,Short_Red Zone
